         68004 function calls (66873 primitive calls) in 0.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:365(isframe)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1034(__enter__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/tokenize.py:614(generate_tokens)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/enum.py:801(value)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/contextlib.py:530(__enter__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/functools.py:421(_unwrap_partial)
        3    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:477(_get_iscased)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys.gettrace}
        1    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.WIFSTOPPED}
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitstatus_to_exitcode}
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}


